,,,,,,,"zone,ambient, triggered",,,,track description,,,lyrics or text...,,,,,Coordinate,,timed? (daily cycle),if timed: when?,
ID,vol,track,identifier,Track Name,Track,valley,audio type,,images,videos,General Desc.,Instrument Desc.,Musicians Desc.,lyric-original,lyric-translit.,lyric-translation,alt. track,placemark,Latitude,Longitude,,,one line description
1,1,3,Vol01-Tr03,Kuidum Chok,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr03.ogg,1,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Performer.png , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Komuz.png",https://islamicgarden.ualberta.ca/flask/assets/Disk01-Excerpt01.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-3.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription1-3.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio1-3.txt,,https://islamicgarden.ualberta.ca/flask/assets/LyricsTransliteration1-3.txt,https://drive.google.com/open?id=1JxyOWxawJDP09dP6e3rlx2yB5Ty6cY8x,mp3 version!,Rutherford-FrontDoor,,,,,"KUIDUM CHOK (I Burn, I Smoulder like Charcoal); Composero Atai Ogonbaev (1900-1949); Text: Atai Ogonbaev; Performer: Zainidin lmanaliev, vocal, komuz"
2,4,2,Vol04-Tr02,"Galmadi, Galmadi",https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr02.ogg,1,triggered,,https://islamicgarden.ualberta.ca/flask/assets/Band-performers.jpg,https://islamicgarden.ualberta.ca/flask/assets/video-excerpt.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription4-2.txt,,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio4-2.txt,,,https://drive.google.com/open?id=1MqGRkr_Gu-QZvbD2h4qeqTlfOJS3ovoF,mp3 version!,Boyan,,,,,"Galmadi, Galmadi (He didn’t come); Text and music: unattributed; Dilbar Bekturdieva, garmon, dayra, qayraq, vocal; Komila Mattieva, tar and vocal; Gozal Muminova, dayra."
3,1,11,Vol01-Tr11,Gul,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr11.ogg,2,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Picture-3.png , https://islamicgarden.ualberta.ca/flask/assets/Picture-4.png",https://drive.google.com/open?id=1Ete_3XedqReaZdN8qj1q7Y3ulINw_o4O,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-11.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription1-11.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio1-11.txt,,https://islamicgarden.ualberta.ca/flask/assets/LyricsTransliteration1-11.txt,https://drive.google.com/open?id=1fa5JDX5BLZNckrKYP7NCzniRDfzXq3-9,mp3 version!,Pond-MiddleofQuad,,,,,GuL (Flower); Music and text: Atai Ogonbaev; Performer: Zainidin lmanaliev
4,4,17,Vol04-Tr17,Noleydi,https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr17.ogg,2,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Performer01.jpg , https://islamicgarden.ualberta.ca/flask/assets/performer02.png",https://drive.google.com/open?id=1MQ3iCWambYA1HHweeJglyJWeUJ7enWh8,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription4-17.txt,,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio4-17.txt,,,https://drive.google.com/open?id=1mQ27WtSBftb58D3MA5dgRSTt0ro81FCH,mp3 version!,Boyan,,,,,"Noleydi (What if); Text: unattributed folksong, Ghazal by Seyyid Ezim Shirvani (1835–1888); Music: unattributed; Fargana Qasimova, vocal; accompanied by Rafael Asgarov, balaban; Rauf Islamov, kamancha; Ali Asgar Mammadov, tar; Natiq Shirinov, percussion"
5,5,2,Vol05-Tr02,Ay Pari,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr02.ogg,3,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Badakhshan-Ensemble.png , https://islamicgarden.ualberta.ca/flask/assets/Singer-and-Dancer.png",https://islamicgarden.ualberta.ca/flask/assets/Disk05-Excerpt01.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription5-2.txt,,,,,https://drive.google.com/open?id=1jpBy8ADyeY28KbWYV8rIoI2oBXhOHj7A,mp3 version!,BusinessBuilding-FrontDoor,,,,,Ay Pari (Oh Fairy); Text: Qadiri; Music: Author unknown
6,6,2,Vol06-Tr02-2,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-2.ogg,3,triggered,,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",https://drive.google.com/open?id=1RxGGcv8xPvgYf-mMzWNbiYxBKEZa8exw,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio6-2.txt,,,,mp3 version!,Boyan,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
7,6,2,Vol06-Tr02-1,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-1.ogg,3,triggered,,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio6-2.txt,,,,mp3 version!,Boyan,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
8,1,8,Vol01-Tr08,Attila Khan,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr08.ogg,4,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Komuz-playing-style.png ,  https://islamicgarden.ualberta.ca/flask/assets/Komuz-Performer.png",https://drive.google.com/open?id=1LVro9tMIQsy9E2DnvndEH5nJ51edg8At,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-8.txt,,,,,,mp3 version!,NorthEast-Quad,,,,,"ATTILA KHAN; Composer: Nurak Ahdrakhmanov (b. 1947); Performer: Nurak Abdrakhmanov, Komuz"
9,5,3,Vol05-Tr03,Zohidi Pokizasirisht,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr03.ogg,4,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Setar-Instrument.jpg , https://islamicgarden.ualberta.ca/flask/assets/Setar-Performer.png",https://drive.google.com/open?id=1fZqypCvds20BpFj5arqIf7hDobQghNhq,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription5-3.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription5-3.txt,,,,https://drive.google.com/open?id=1-5W-qQA0b8-3GwX0hoL7ThJwwGi9MYb0,mp3 version!,Boyan,,,,,Zohidi Pokizasirisht (Pious Ascetic); Text: Hafiz; Music: Mukhtor Muborakqadamov (composed in 2000); Vocal solo: Aqnazar Alovatov
10,1,10,Vol01-Tr10,Fantasy on the Chopo Choor,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr10.ogg,5,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Chopo-Choor-performer.png , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Chopo-Choor.png",https://drive.google.com/open?id=0B50GceJl2w8MeFdtblF2U0M3Nm8,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-10.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription1-10.txt,,,,,mp3 version!,SouthEast-Quad,,,,,FANTASY ON THE CHOPO CHOOR (Ocarina); Composer-performer: Nurlanbek Nyshanov
11,6,1,Vol06-Tr01,Bardasht,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr01.ogg,5,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Instrument-Balaban.jpg , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Daf.jpg , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Kamancha.jpg , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Tar.jpg , https://islamicgarden.ualberta.ca/flask/assets/performers01.png , https://islamicgarden.ualberta.ca/flask/assets/performers02.png , https://islamicgarden.ualberta.ca/flask/assets/performers03.png , https://islamicgarden.ualberta.ca/flask/assets/performers04.png",https://drive.google.com/open?id=0B50GceJl2w8Mb0JvQndHeEJ5TVU,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription6-1.txt,,,,,,mp3 version!,Boyan,,,,,Bardasht; Bardasht (from Persian “summing up”) is a generic compositional form that serves as a short overture to a mugham suite.
12,2,5,Vol02-Tr05,Tarona,https://islamicgarden.ualberta.ca/flask/assets/Vol02-Tr05.ogg,6,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Ensemble.jpg , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Doira-1.png ,  https://islamicgarden.ualberta.ca/flask/assets/Instruments-Doira-2.png , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Dutar-1.png , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Dutar-2.png , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Sato.png , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Tanbur-1.png , https://islamicgarden.ualberta.ca/flask/assets/Instruments-Tanbur-2.png , ",https://islamicgarden.ualberta.ca/flask/assets/Disk02-Excertp01.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription2-5.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription2-5.txt,,,,,mp3 version!,,,,,,"Tarona; In the Shashmaqam, tarona-s are short songs that provide a melodic and rhythmic transition between the principal vocal pieces of each suite."
13,7,8,Vol07-Tr08,Torghay,https://islamicgarden.ualberta.ca/flask/assets/Vol07-Tr08.ogg,6,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Instrument-Dutar.jpg ,  https://islamicgarden.ualberta.ca/flask/assets/Performer02-bewilderment.jpg ",,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription7-8.txt,,,,,,mp3 version!,,,,,,"Torghay (Lark); Music: Unattributed; Shuhrat Razzaqov, dutar"
14,7,4,Vol07-Tr04,Qushtar,https://islamicgarden.ualberta.ca/flask/assets/Vol07-Tr04.ogg,6,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Instrument-Dutar.jpg , https://islamicgarden.ualberta.ca/flask/assets/Performer01-bewilderment.jpg",,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription7-4.txt,,,,,,mp3 version!,,,,,,"Qushtar (Double Strings); Music: Unattributed; performance version of Kuzikhon Madrahimov (1888–1954); Sirojiddin Juraev, dutar"
15,3,2,Vol03-Tr02,Raga Yaman,https://islamicgarden.ualberta.ca/flask/assets/Vol03-Tr02.ogg,7,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Instrument-Rubab.jpg ,  https://islamicgarden.ualberta.ca/flask/assets/Instrument-Tabla.jpg , https://islamicgarden.ualberta.ca/flask/assets/performer01-poverty.png , https://islamicgarden.ualberta.ca/flask/assets/performer02-poverty.png , https://islamicgarden.ualberta.ca/flask/assets/Rubab-Maker.png",https://islamicgarden.ualberta.ca/flask/assets/video-excerpt3-1.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription3-2.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription3-2.txt,,,,,mp3 version!,,,,,,"Raga Yaman; In this distinctively Afghan type of classical composition, sometimes known as naghma-ye chahartuk (four-part instrumental piece), or as lareh, Homayun and Toryalai interpret raga yaman."
16,4,5,Vol04-Tr05,Aqsholpan,https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr05.ogg,7,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Instrument-Dombra.jpg , https://islamicgarden.ualberta.ca/flask/assets/Performer-poverty.jpg , ",https://islamicgarden.ualberta.ca/flask/assets/video-excerpt-poverty.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription4-5.txt,,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio4-5.txt,,,,mp3 version!,,,,,,"Aqsholpan (Lovely Sholpan); Music: traditional; Aigul Ulkenbaeva, dombra"
17,,,Intro01,Introduction to the Valley of Quest,,1,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1cN66Djl30DXBWwpDRRo16HvAhra_aNn8,,,,,,,"The introductory piece to the Valley of Quest, corresponding with ""Dastgah-e Shoor"""
18,,,Intro02,Introduction to the Valley of Love,,2,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1FAv2vJjKmCQ9BzTDbeW9CRk-lIpOpnMT,,,,,,,"The introductory piece to the Valley of Love, corresponding with ""Dastgah-e Segah"""
19,,,Intro03,Introduction to the Valley of Knowledge,,3,triggered & played once,,,,,,,,,https://drive.google.com/open?id=19eJLppB4Xtvz9oSzhq9BIKyQllwa79AZ,,,,,,,"The introductory piece to the Valley of Knowledge, corresponding with ""Dastgah-e Chahārgāh"""
20,,,Intro04,Introduction to the Valley of Detachment,,4,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1DHdc55_Jr8H118HFGjnhzB4cZ105r7nk,,,,,,,"The introductory piece to the Valley of Detachment, corresponding with ""Dastgah-e Mahour"""
21,,,Intro05,Introduction to the Valley of Unity,,5,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1xvkUwt3F1cFaYJauxc8eo-fvmveiZrb_,,,,,,,"The introductory piece to the Valley of Unity, corresponding with ""Dastgah-e Homayoun"""
22,,,Intro06,Introduction to the Valley of Bewilderment,,6,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1Kc-TMGzguT2duNWZM20tIh6rORl9IbA7,,,,,,,"The introductory piece to the Valley of Bewilderment, corresponding with ""Dastgah-e Rast-Panjgah"""
23,,,Intro07,Introduction to the Valley of Poverty,,7,triggered & played once,,,,,,,,,https://drive.google.com/open?id=1J6kpP_NktJnWe1TKNEhckpHRy32-aurY,,,,,,,"The introductory piece to the Valley of Poverty, corresponding with ""Dastgah-e Nava"""
24,,,Dr01,1st Valley's drone,,1,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Quest, preferably composed in the Dastgah of Shoor"
25,,,Dr02,2nd Valley's drone,,2,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Love, preferably composed in the Dastgah of Segāh"
26,,,Dr03,3rd Valley's drone,,3,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Knowledge, preferably composed in the Dastgah of Chahargāh"
27,,,Dr04,4th Valley's drone,,4,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Detachment, preferably composed in the Dastgah of Mahoor"
28,,,Dr05,5th Valley's drone,,5,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Unity, preferably composed in the Dastgah of Homayoun"
29,,,Dr06,6th Valley's drone,,6,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Bewilderment, preferably composed in the Dastgah of Rast-Panjgah"
30,,,Dr07,7th Valley's drone,,7,triggered & repeated,,,,,,,,,,,,,,,,"the ambient/drone sound of the Valley of Poverty-Annihilation, preferably composed in the Dastgah of Navā"
31,,,Azan1,Azan in Bayati,,,timed,,,,,,,,,,,,,,,,
32,,,Azan2,Azan in Chahargah,,,timed,,,,,,,,,,,,,,,,
33,,,Azan3,Azan in Rooh-al-arvāh,,,timed,,,,,,,,,,,,,,,,
34,,,Quran1,,,,triggered or timed,,,,,,,,,,,,,,,,
35,,,Quran2,,,,triggered or timed,,,,,,,,,,,,,,,,
36,,,Quran3,,,,triggered or timed,,,,,,,,,,,,,,,,
